Cod. PLU;Cod. PLU Retailer;ProductId;Brand;Model;Tipo de producto;Tipo de combustible;Capacidad por minuto;Capacidad por volumen;Calefones Tiro Natural;Capacidad;Desc. Producto;Producto
7736502704;1111034;182802231;Junkers;15 litros HydroCompact - GL;Calefont;Gas Licuado;15;-1;False;15;TIRO FORZADO 15L GLP - HYDROCOMPACT;Junkers-TIRO FORZADO 15L GLP - HYDROCOMPACT
7703431715;1593714;182522210;Junkers;16 litros Hydropower GL;Calefont;Gas Licuado;16;-1;True;16;IONIZADO 16L GLP - HYDROPOWER D;Junkers-IONIZADO 16L GLP - HYDROPOWER D
7701331686;112224;182522202;Junkers;11 litros Piezo - GN;Calefont;Gas Natural;11;-1;True;11;PIEZO ELÉCTRICO 11L GN;Junkers-PIEZO ELÉCTRICO 11L GN
7736505607;1284418;182460784;Junkers;10 litros HydroWind Easy - GN;Calefont;Gas Natural;10;-1;False;10;TIRO FORZADO 10L GN - HYDROWIND PLUS;Junkers-TIRO FORZADO 10L GN - HYDROWIND PLUS
7703431705;2060434;181992259;Junkers;16 litros Hydropower Plus - GL;Calefont;Gas Licuado;16;-1;False;16;IONIZADO 16L GLP - HYDROPOWER PLUS;Junkers-IONIZADO 16L GLP - HYDROPOWER PLUS
7702431679;767594;181992730;Junkers;14 litros Ionizado - GL;Calefont;Gas Licuado;14;-1;True;14;IONIZADO 14L GLP - MINIMAXX;Junkers-IONIZADO 14L GLP - MINIMAXX
7736505610;1293974;181992658;Junkers;15 litros HydroWind Plus - GL;Calefont;Gas Licuado;15;-1;False;15;TIRO FORZADO 15L GLP - HYDROWIND PLUS;Junkers-TIRO FORZADO 15L GLP - HYDROWIND PLUS
7736502089;1175094;181992623;Junkers;13 litros Ionizado - GN;Calefont;Gas Natural;13;-1;True;13;IONIZADO 13L GN - HYDROBATTERY SMART;Junkers-IONIZADO 13L GN - HYDROBATTERY SMART
7702431626;1046533;182460763;Junkers;14 litros HydroPower Plus - GL;Calefont;Gas Licuado;14;-1;True;14;IONIZADO 14L GLP - HYDROPOWER PLUS;Junkers-IONIZADO 14L GLP - HYDROPOWER PLUS
7736505612;1284258;182460782;Junkers;18 litros HydroWind Plus - GL;Calefont;Gas Licuado;18;-1;False;18;TIRO FORZADO 18L GLP - HYDROWIND PLUS;Junkers-TIRO FORZADO 18L GLP - HYDROWIND PLUS
7703431714;1289982;182460774;Junkers;16 litros Ionizado - GL;Calefont;Gas Licuado;16;-1;True;16;IONIZADO 16L GLP - MINIMAXX;Junkers-IONIZADO 16L GLP - MINIMAXX
7736505608;1284419;182460773;Junkers;12 litros HydroWind Plus - GL;Calefont;Gas Licuado;12;-1;False;12;TIRO FORZADO 12L GLP - HYDROWIND PLUS;Junkers-TIRO FORZADO 12L GLP - HYDROWIND PLUS
7736505615;5593379;182158347;Junkers;21 litros HydroWind Plus GN;Calefont;Gas Natural;21;-1;False;21;TIRO FORZADO 21L GN - HYDROWIND PLUS;Junkers-TIRO FORZADO 21L GN - HYDROWIND PLUS
7703331719;1593722;181992246;Junkers;16 litros Hydropower - GN;Calefont;Gas Natural;16;-1;False;16;IONIZADO 16L GN - HYDROPOWER D;Junkers-IONIZADO 16L GN - HYDROPOWER D
7703331718;1289983;182402213;Junkers;16 litros Ionizado - GN;Calefont;Gas Natural;16;-1;True;16;IONIZADO 16L GN - MINIMAXX;Junkers-IONIZADO 16L GN - MINIMAXX
7736504598;3848426;260916969;Junkers;WD7KMEGL;Calefont;Gas Licuado;7;-1;False;7;TIRO FORZADO 7L GLP - HYDROWIND EASY;Junkers-TIRO FORZADO 7L GLP - HYDROWIND EASY
7736504599;6589723;273103809;Junkers;WD10KME;Calefont;Gas Natural;10;-1;False;10;TIRO FORZADO 10L GN - HYDROWIND EASY;Junkers-TIRO FORZADO 10L GN - HYDROWIND EASY
7736504601;6784143;276455234;Junkers;WD12KME23;Calefont;Gas Natural;12;-1;False;12;TIRO FORZADO 12L GN - HYDROWIND EASY;Junkers-TIRO FORZADO 12L GN - HYDROWIND EASY
